collection,name,lrv,r,g,b
3D-System plus,3D Indeko-plus weiß,90,246,244,241
3D-System plus,3D Lichtweiß,89,247,242,236
3D-System plus,3D Antikweiß,87,245,240,233
3D-System plus,3D Altweiß,87,244,240,232
3D-System plus,3D Muschelweiß,88,245,241,237
3D-System plus,3D Verkehrsweiß,88,242,240,235
3D-System plus,3D Porzellanweiß,85,239,236,236
3D-System plus,3D Warmweiß,78,232,225,219
3D-System plus,3D Umbraweiß,79,233,227,217
3D-System plus,3D Naturweiß,83,238,232,224
3D-System plus,3D Hellweiß,89,243,239,234
3D-System plus,3D Grauweiß,82,238,233,228
3D-System plus,3D Kühlweiß,78,234,230,228
3D-System plus,3D Perlmuttweiß,78,237,228,225
3D-System plus,3D Cremeweiß,76,234,226,211
3D-System plus,3D Samtweiß,84,243,236,226
3D-System plus,3D Reinweiß,86,242,238,230
3D-System plus,3D Signalweiß,85,239,237,235
3D-System plus,3D Marmorweiß,82,233,232,232
3D-System plus,3D Off White 15,85,246,234,227
3D-System plus,3D Off White 20,86,243,236,220
3D-System plus,3D Off White 25,87,245,239,223
3D-System plus,3D Off White 30,88,242,241,228
3D-System plus,3D Off White 40,85,229,238,232
3D-System plus,3D Off White 50,83,236,235,233
3D-System plus,3D Granit 5,6,62,61,61
3D-System plus,3D Granit 10,10,82,80,80
3D-System plus,3D Granit 15,15,101,98,99
3D-System plus,3D Granit 20,19,114,112,112
3D-System plus,3D Granit 25,23,125,123,122
3D-System plus,3D Granit 30,28,142,138,138
3D-System plus,3D Granit 35,34,152,151,149
3D-System plus,3D Granit 40,41,170,164,163
3D-System plus,3D Granit 45,49,186,181,181
3D-System plus,3D Granit 50,57,196,192,190
3D-System plus,3D Granit 55,65,209,205,203
3D-System plus,3D Granit 60,73,224,222,219
3D-System plus,3D Ferro 5,6,68,61,61
3D-System plus,3D Ferro 10,10,86,80,78
3D-System plus,3D Ferro 15,15,105,100,98
3D-System plus,3D Ferro 20,19,117,111,109
3D-System plus,3D Ferro 25,23,130,123,122
3D-System plus,3D Ferro 30,29,145,138,135
3D-System plus,3D Ferro 35,34,155,149,146
3D-System plus,3D Ferro 40,41,172,165,162
3D-System plus,3D Ferro 45,49,186,179,175
3D-System plus,3D Ferro 50,58,201,194,191
3D-System plus,3D Ferro 55,65,212,207,204
3D-System plus,3D Ferro 60,73,225,220,217
3D-System plus,3D Jura 5,6,58,56,53
3D-System plus,3D Jura 10,10,81,79,75
3D-System plus,3D Jura 15,15,102,97,95
3D-System plus,3D Jura 20,18,114,112,108
3D-System plus,3D Jura 25,23,127,124,120
3D-System plus,3D Jura 30,28,143,140,134
3D-System plus,3D Jura 35,34,153,148,144
3D-System plus,3D Jura 40,41,169,165,160
3D-System plus,3D Jura 45,48,184,180,174
3D-System plus,3D Jura 50,58,197,195,190
3D-System plus,3D Jura 55,65,210,207,202
3D-System plus,3D Jura 60,73,224,220,216
3D-System plus,3D Venato 5,6,58,61,61
3D-System plus,3D Venato 10,10,77,80,82
3D-System plus,3D Venato 15,15,100,102,103
3D-System plus,3D Venato 20,19,110,114,114
3D-System plus,3D Venato 25,23,123,125,127
3D-System plus,3D Venato 30,28,138,140,142
3D-System plus,3D Venato 35,34,149,151,152
3D-System plus,3D Venato 40,41,164,167,167
3D-System plus,3D Venato 45,49,178,180,179
3D-System plus,3D Venato 50,57,193,194,194
3D-System plus,3D Venato 55,65,207,207,206
3D-System plus,3D Venato 60,73,222,222,222
3D-System plus,3D Rose 5,49,192,181,179
3D-System plus,3D Rose 10,64,214,206,203
3D-System plus,3D Rose 15,74,237,220,218
3D-System plus,3D Rose 20,76,235,224,221
3D-System plus,3D Rose 25,77,234,225,221
3D-System plus,3D Rose 30,81,239,233,229
3D-System plus,3D Rose 35,28,158,135,136
3D-System plus,3D Rose 40,40,189,160,160
3D-System plus,3D Rose 45,43,184,166,167
3D-System plus,3D Rose 50,50,200,178,180
3D-System plus,3D Rose 55,62,223,200,199
3D-System plus,3D Rose 60,80,250,229,228
3D-System plus,3D Rose 65,12,109,82,86
3D-System plus,3D Rose 70,19,135,108,110
3D-System plus,3D Rose 75,24,166,117,122
3D-System plus,3D Rose 80,34,188,142,147
3D-System plus,3D Rose 85,49,214,172,177
3D-System plus,3D Rose 90,76,252,222,223
3D-System plus,3D Rose 95,15,178,53,87
3D-System plus,3D Rose 100,17,179,72,98
3D-System plus,3D Rose 105,16,144,89,97
3D-System plus,3D Rose 110,22,175,103,114
3D-System plus,3D Rose 115,34,220,126,141
3D-System plus,3D Rose 120,49,227,171,178
3D-System plus,3D Baccara 5,9,103,59,60
3D-System plus,3D Baccara 10,12,138,71,80
3D-System plus,3D Baccara 15,23,202,97,112
3D-System plus,3D Baccara 20,34,230,124,136
3D-System plus,3D Baccara 25,49,244,161,169
3D-System plus,3D Baccara 30,70,253,211,212
3D-System plus,3D Barolo 5,6,79,49,49
3D-System plus,3D Barolo 10,12,107,84,81
3D-System plus,3D Barolo 15,20,134,112,110
3D-System plus,3D Barolo 20,30,159,139,137
3D-System plus,3D Barolo 25,45,184,167,166
3D-System plus,3D Barolo 30,63,214,204,201
3D-System plus,3D Barolo 35,7,100,49,50
3D-System plus,3D Barolo 40,13,129,83,84
3D-System plus,3D Barolo 45,21,150,113,110
3D-System plus,3D Barolo 50,33,171,141,138
3D-System plus,3D Barolo 55,47,196,171,169
3D-System plus,3D Barolo 60,66,225,209,207
3D-System plus,3D Barolo 65,8,119,44,50
3D-System plus,3D Barolo 70,14,147,78,79
3D-System plus,3D Barolo 75,23,167,110,111
3D-System plus,3D Barolo 80,35,185,143,140
3D-System plus,3D Barolo 85,50,207,174,172
3D-System plus,3D Barolo 90,70,232,214,212
3D-System plus,3D Barolo 95,9,138,37,48
3D-System plus,3D Barolo 100,16,164,80,84
